排名,专业,专业代码,所属专业类,所属学科门类,专业榜总分,机会规模指数,直接对口指数,独占指数得分,专业相关招录人数,直接对口招录人数,专业独占指数,全部可报招录人数_含不限,折算独占招录人数,专业类共享招录人数,学科门类共享招录人数,专业不限招录人数
163,交通管理,120407T,公共管理类,管理学,74.7617,84.6246,60.7867,78.5459,5554,16,0.00794801,10913.0,86.736585,4760,34,5359
164,服务科学与工程,080915T,计算机类,工学,74.699,93.087,42.8486,89.8689,10086,5,0.01348556,15445.0,208.284538,9515,35,5359
165,智能测控工程,080720T,电子信息类,工学,74.5262,89.1538,51.7878,82.9559,7089,9,0.00945872,12448.0,117.742167,6623,35,5359
166,电影制作,080913T,计算机类,工学,74.5024,92.9678,42.8486,89.2729,9993,5,0.01327668,15352.0,203.82355,9422,35,5359
167,体育经济与管理,120212T,工商管理类,管理学,74.3653,90.4648,47.6162,86.0548,7523,7,0.01114739,12882.0,143.600718,7052,34,5359
168,水文与水资源工程,081102,水利类,工学,74.3087,71.6329,78.4267,72.8248,2217,44,0.00696925,7576.0,52.799044,937,35,5359
169,电子商务,120801,电子商务类,管理学,74.0584,78.4267,66.6269,77.4732,3472,22,0.00782838,8831.0,69.132461,3045,34,5359
170,医学信息工程,080711T,电子信息类,工学,73.826,88.975,49.8212,83.1943,7087,8,0.00952255,12446.0,118.517669,6622,35,5359
171,智能装备与系统,080806T,自动化类,工学,73.528,74.9702,76.6389,66.8653,2841,39,0.00587209,8200.0,48.15113,2372,35,5359
172,风景园林,082803,建筑类,工学,73.4952,78.3075,63.7068,79.4994,3419,19,0.00829562,8778.0,72.818968,2747,35,5359
173,地理信息科学,070504,地理科学类,理学,73.2271,70.5602,73.8379,76.6389,2069,33,0.00777092,7428.0,57.722429,770,39,5359
174,临床医学,100201K,临床医学类,医学,73.1645,50.298,96.9011,76.5197,1171,285,0.00776329,6530.0,50.694282,803,16,5359
175,商务英语,050262,外国语言文学类,文学,73.1049,61.7402,80.3337,81.1681,1636,51,0.00879398,6995.0,61.513917,76,22,5359
176,涉外警务,030613TK,公安学类,法学,73.0155,66.9845,83.7902,67.5805,1855,62,0.00589709,7214.0,42.5416,1468,30,5359
177,智能视觉工程,080721T,电子信息类,工学,72.935,88.975,47.6162,82.7175,7087,7,0.00945355,12446.0,117.658834,6623,35,5359
178,智能建造,081008T,土木类,工学,72.8963,79.3206,61.8594,78.0691,3666,17,0.00791972,9025.0,71.475517,3203,35,5359
179,外交学,030203,政治学类,法学,72.8933,73.1228,69.1895,77.7116,2323,26,0.00789364,7682.0,60.638979,1968,30,5359
180,跨境电子商务,120803T,电子商务类,管理学,72.8665,78.1883,64.6007,75.9237,3382,20,0.0076138,8741.0,66.552249,3045,34,5359
181,建筑电气与智能化,081004,土木类,工学,72.8367,79.3206,61.8594,77.8308,3666,17,0.0078984,9025.0,71.283057,3203,35,5359
182,农业资源与环境,090201,自然保护与环境生态类,农学,72.7533,71.3945,76.6389,69.4875,2176,39,0.00615463,7535.0,46.375122,994,18,5359
183,安全生产监管,082904T,安全科学与工程类,工学,72.7175,63.6472,84.0286,71.3945,1753,63,0.00664693,7112.0,47.272969,1262,35,5359
184,国际政治,030202,政治学类,法学,72.7145,73.1228,69.1895,76.9964,2323,26,0.00779179,7682.0,59.856493,1968,30,5359
185,历史学,060101,历史学类,历史学,72.5864,68.1764,90.2265,54.9464,1973,118,0.00449622,7332.0,32.966285,172,17,5359
186,房地产开发与管理,120104,管理科学与工程类,管理学,72.3212,81.1681,54.5292,83.0751,4764,11,0.00950176,10123.0,96.186299,4329,34,5359
187,网络安全与执法,083108TK,公安技术类,工学,72.3153,59.6544,91.3588,65.9118,1542,132,0.00571024,6901.0,39.406383,428,35,5359
188,城市水系统工程,081011T,土木类,工学,72.1841,79.857,59.8927,77.1156,3783,15,0.00780385,9142.0,71.342829,3203,35,5359
189,警务指挥与战术,030615TK,公安学类,法学,72.1782,66.6269,80.8701,68.8915,1843,52,0.00609055,7202.0,43.864154,1466,30,5359
190,警犬技术,030605TK,公安学类,法学,72.1365,66.7461,83.2539,65.1967,1847,59,0.0056736,7206.0,40.88398,1463,30,5359
191,森林保护,090503,林学类,农学,72.1245,56.2574,89.3325,73.4207,1482,107,0.00712778,6841.0,48.761137,576,18,5359
192,旅游管理,120901K,旅游管理类,管理学,72.0739,70.9178,82.4791,59.3564,2106,57,0.00521436,7465.0,38.925206,351,33,5359
193,移民管理,030619TK,公安学类,法学,72.0352,66.8653,82.062,66.2694,1848,55,0.00581686,7207.0,41.922076,1468,30,5359
194,材料成型及控制工程,080203,机械类,工学,71.8713,76.8772,68.534,68.534,2993,25,0.00599883,8352.0,50.102213,2519,35,5359
195,植物保护,090103,植物生产类,农学,71.8027,51.0727,91.9547,76.758,1239,139,0.00779052,6598.0,51.401824,689,18,5359
196,遥感科学与技术,081202,测绘类,工学,71.6925,73.3015,70.9178,70.2026,2442,28,0.00636884,7801.0,49.683303,1343,35,5359
197,科学社会主义,030501,马克思主义理论类,法学,71.6508,73.7783,62.9321,80.4529,2601,18,0.00863339,7960.0,68.721759,2241,30,5359
198,人才发展与管理,120421TK,公共管理类,管理学,71.1651,83.1943,54.5292,75.2086,5167,11,0.00744221,10526.0,78.336727,4760,34,5359
199,应急技术与管理,082902T,安全科学与工程类,工学,71.1054,63.3492,79.0822,72.348,1744,46,0.00692885,7103.0,49.215631,1262,35,5359
200,食品科学与工程,082701,食品科学与工程类,工学,71.025,54.41,93.9213,65.5542,1358,167,0.00568975,6717.0,38.218034,734,35,5359
201,城市地下空间工程,081005T,土木类,工学,70.9803,79.1418,57.8665,76.2813,3661,13,0.00773266,9020.0,69.748556,3202,35,5359
202,食品质量与安全,082702,食品科学与工程类,工学,70.8135,54.708,93.7426,64.4815,1367,163,0.0055984,6726.0,37.654859,741,35,5359
203,交通运输,081801,交通运输类,工学,70.7896,63.0513,89.3325,57.211,1738,107,0.00497304,7097.0,35.29364,1083,35,5359
204,精细化工,081308T,化工与制药类,工学,70.733,61.3826,82.4791,69.2491,1600,57,0.00615403,6959.0,42.825892,1129,35,5359
205,过程装备与控制工程,080206,机械类,工学,70.6377,76.6389,65.7926,67.8188,2937,21,0.00595108,8296.0,49.3702,2519,35,5359
206,档案学,120502,图书情报与档案管理类,管理学,70.5781,63.0513,78.4267,71.6329,1738,44,0.00672763,7097.0,47.745996,1380,34,5359
207,健康服务与管理,120410T,公共管理类,管理学,70.4946,82.8367,53.2777,74.851,5105,10,0.00738141,10464.0,77.239048,4760,34,5359
208,精神医学,100205TK,临床医学类,医学,70.4798,54.9464,81.7044,79.6186,1380,54,0.00829748,6739.0,55.916699,842,16,5359
209,智慧建筑与建造,082807T,建筑类,工学,70.444,77.4732,56.1979,79.1418,3221,12,0.00806001,8580.0,69.154872,2753,35,5359
210,医疗保险,120413T,公共管理类,管理学,70.4171,82.7175,53.2777,74.7318,5104,10,0.00738001,10463.0,77.217028,4759,34,5359
211,应用电子技术教育,080716T,电子信息类,工学,70.3874,88.7366,40.5244,82.8367,7084,4,0.00945809,12443.0,117.687029,6623,35,5359
212,零售业管理,120215T,工商管理类,管理学,70.3606,90.1073,37.0083,85.4589,7517,3,0.01110501,12876.0,142.98807,7052,34,5359
213,智能视听工程,080722T,电子信息类,工学,70.3278,88.7366,40.5244,82.5983,7084,4,0.00944948,12443.0,117.579886,6623,35,5359
214,医学影像学,100203TK,临床医学类,医学,70.2563,50.4172,85.2205,81.0489,1174,67,0.00879057,6533.0,57.428781,840,16,5359
215,工业智能,080807T,自动化类,工学,70.1996,74.7318,69.1895,64.3623,2829,26,0.0055964,8188.0,45.823352,2375,35,5359
216,环境生态工程,082504,环境科学与工程类,工学,69.9285,72.4076,65.7926,71.7521,2290,21,0.00675677,7649.0,51.682542,1778,35,5359
217,电子商务及法律,120802T,电子商务类,管理学,69.848,78.0691,56.1979,75.8045,3377,12,0.00760688,8736.0,66.453714,3045,34,5359
218,采矿工程,081501,矿业类,工学,69.7557,53.2777,86.6508,72.4672,1302,81,0.00695288,6661.0,46.313123,815,35,5359
219,物流管理,120601,物流管理与工程类,管理学,69.702,67.938,78.4267,60.3099,1968,44,0.00538461,7327.0,39.453019,977,33,5359
220,数字出版,050307T,新闻传播学类,文学,69.6603,84.3862,40.5244,86.8892,5542,4,0.01159014,10901.0,126.344152,5280,22,5359
221,禁毒学,030604TK,公安学类,法学,69.6395,66.2694,77.7712,63.6472,1829,42,0.00556126,7188.0,39.974314,1462,30,5359
222,船舶电子电气工程,081808TK,交通运输类,工学,69.559,61.621,79.6186,68.1764,1614,49,0.00599139,6973.0,41.777972,1091,35,5359
223,新能源汽车工程,080216T,机械类,工学,69.5322,76.5197,63.7068,66.5077,2934,19,0.00584151,8293.0,48.443663,2519,35,5359
224,公安管理学,030612TK,公安学类,法学,69.4875,66.5077,76.6389,64.2431,1836,39,0.00559618,7195.0,40.264517,1472,30,5359
225,食品安全与检测,082709T,食品科学与工程类,工学,69.4458,53.7545,91.18,64.124,1323,129,0.00559096,6682.0,37.358807,739,35,5359
226,植物科学与技术,090104,植物生产类,农学,69.3832,48.9869,90.4052,72.5864,1062,119,0.00695292,6421.0,44.644726,689,18,5359
227,资源环境科学,082506T,环境科学与工程类,工学,69.3802,72.2288,64.6007,71.5137,2286,20,0.00666002,7645.0,50.915876,1777,35,5359
228,刑事科学技术,083101K,公安技术类,工学,69.3355,61.0846,85.6377,59.7139,1587,72,0.00528253,6946.0,36.692464,428,35,5359
229,古典文献学,050105,中国语言文学类,文学,69.3176,85.6377,37.0083,88.4386,6309,3,0.0122269,11668.0,142.663413,6126,22,5359
230,林学,090501,林学类,农学,69.2968,55.7807,87.2467,65.7926,1438,84,0.00570233,6797.0,38.758724,572,18,5359
231,智能制造工程,080213T,机械类,工学,69.2432,77.1156,61.8594,66.9845,3107,17,0.00587946,8466.0,49.775531,2519,35,5359
232,农业水利工程,082305,农业工程类,工学,69.0256,64.6007,76.2217,66.031,1780,38,0.00573146,7139.0,40.916906,1058,35,5359
233,生态学,071004,生物科学类,理学,69.0107,61.8594,80.3337,64.6007,1638,51,0.00561269,6997.0,39.27198,193,39,5359
234,创业管理,120216T,工商管理类,管理学,69.0018,90.2861,32.8367,85.5781,7519,2,0.0111056,12878.0,143.01792,7053,34,5359
235,电磁场与无线技术,080712T,电子信息类,工学,68.9958,88.5578,37.0083,82.4791,7083,3,0.00944814,12442.0,117.553696,6623,35,5359
236,制药工程,081302,化工与制药类,工学,68.9601,65.0775,73.3611,69.0107,1789,31,0.00612039,7148.0,43.748525,1128,35,5359
237,边防管理,030603K,公安学类,法学,68.9422,65.1967,77.7712,62.5745,1808,42,0.00553196,7167.0,39.647583,1441,30,5359
238,人居环境科学与技术,082805T,建筑类,工学,68.7336,77.354,51.7878,78.6651,3220,9,0.00795518,8579.0,68.247523,2753,35,5359
239,政治学、经济学与哲学,030205T,政治学类,法学,68.7187,72.944,60.7867,73.0632,2313,16,0.00706726,7672.0,54.220053,1968,30,5359
240,智能建造与智慧交通,081012T,土木类,工学,68.6979,78.9035,51.7878,76.0429,3658,9,0.00765342,9017.0,69.010925,3203,35,5359
241,智能车辆工程,080214T,机械类,工学,68.3731,76.4005,60.7867,66.1502,2932,16,0.00575995,8291.0,47.755738,2519,35,5359
242,国内安全保卫,030614TK,公安学类,法学,68.2569,66.3886,74.7914,62.0977,1832,35,0.00552099,7191.0,39.701412,1472,30,5359
243,化学工程与工业生物工程,081305T,化工与制药类,工学,68.2509,61.0846,77.7712,66.3886,1587,42,0.00581974,6946.0,40.423943,1129,35,5359
244,时尚传播,050308T,新闻传播学类,文学,68.227,84.0286,37.0083,86.6508,5484,3,0.01141034,10843.0,123.722306,5280,22,5359
245,集成电路设计与集成系统,080710T,电子信息类,工学,68.1853,89.5113,32.8367,83.5518,7124,2,0.00956185,12483.0,119.360553,6622,35,5359
246,土木、水利与海洋工程,081009T,土木类,工学,67.9917,78.7843,49.8212,76.1621,3657,8,0.00765722,9016.0,69.037483,3203,35,5359
247,汉学与中国学,050112T,中国语言文学类,文学,67.9887,85.8164,32.8367,88.677,6312,2,0.01224801,11671.0,142.946494,6130,22,5359
248,国际事务与国际关系,030204T,政治学类,法学,67.9768,72.8248,57.8665,74.3743,2310,13,0.00736371,7669.0,56.472312,1968,30,5359
249,能源化学工程,081304T,化工与制药类,工学,67.941,63.528,73.8379,66.7461,1752,33,0.00586952,7111.0,41.738142,1129,35,5359
250,机器人工程,080803T,自动化类,工学,67.8397,80.3337,51.7878,70.3218,4019,9,0.00640669,9378.0,60.081977,2374,35,5359
251,公共关系学,120409T,公共管理类,管理学,67.643,83.0751,45.1132,74.4934,5161,6,0.00736483,10520.0,77.477986,4759,34,5359
252,市场营销教育,120214T,工商管理类,管理学,67.3927,90.2861,28.0691,85.8164,7519,1,0.01111589,12878.0,143.150407,7054,34,5359
253,养老服务管理,120414T,公共管理类,管理学,67.3927,82.5983,45.1132,74.2551,5101,6,0.00730418,10460.0,76.40168,4760,34,5359
254,警卫学,030609TK,公安学类,法学,67.3659,66.1502,72.944,61.5018,1827,30,0.00542139,7186.0,38.958075,1472,30,5359
255,翻译,050261,外国语言文学类,文学,67.2586,61.5018,66.6269,77.354,1612,22,0.00782277,6971.0,54.532547,76,22,5359
256,应急装备技术与工程,080219T,机械类,工学,67.1365,76.1621,57.8665,65.6734,2929,13,0.00570108,8288.0,47.250583,2519,35,5359
257,邮政工程,080804T,自动化类,工学,66.9904,74.851,59.118,65.435,2839,14,0.00568871,8198.0,46.63605,2376,35,5359
258,工业设计,080205,机械类,工学,66.7014,76.758,56.1979,65.3159,2979,12,0.00568791,8338.0,47.425762,2519,35,5359
259,农林经济管理,120301,农业经济管理类,管理学,66.6895,62.8129,74.3147,62.2169,1737,34,0.00552622,7096.0,39.214037,1381,33,5359
260,会展,050310T,新闻传播学类,文学,66.6597,83.9094,32.8367,86.4124,5482,2,0.01136424,10841.0,123.199683,5279,22,5359
261,材料科学与工程,080401,材料类,工学,66.615,61.2634,84.9821,49.4636,1592,66,0.00394179,6951.0,27.399359,1125,35,5359
262,反恐警务,030621TK,公安学类,法学,66.5465,65.6734,72.1692,60.0715,1820,29,0.00534276,7179.0,38.355669,1466,30,5359
263,公安政治工作,030618TK,公安学类,法学,66.5018,65.9118,70.9178,61.2634,1825,28,0.00539896,7184.0,38.786145,1472,30,5359
264,地理空间信息工程,081205T,测绘类,工学,66.3945,67.5805,67.938,62.3361,1929,24,0.00552975,7288.0,40.300798,1343,35,5359
265,信息资源管理,120503,图书情报与档案管理类,管理学,66.3468,62.6937,67.938,69.9642,1724,24,0.00629584,7083.0,44.593449,1380,34,5359
266,心理学,071101,心理学类,理学,66.0787,44.8153,79.857,80.8105,951,50,0.00871599,6310.0,54.997906,673,39,5359
267,电波传播与天线,080713T,电子信息类,工学,65.7896,88.4386,28.0691,82.36,7081,1,0.00944162,12440.0,117.453696,6623,35,5359
268,机械工艺技术,080209T,机械类,工学,65.7718,76.0429,54.5292,65.0775,2926,11,0.00564133,8285.0,46.738452,2519,35,5359
269,历史建筑保护工程,082804T,建筑类,工学,65.6168,77.2348,42.8486,78.9035,3214,5,0.00796696,8573.0,68.300744,2747,35,5359
270,地质工程,081401,地质类,工学,65.6079,50.1788,84.9821,63.1704,1170,66,0.00555235,6529.0,36.25127,558,35,5359
271,教育学,040101,教育学类,教育学,65.5036,50.5364,92.789,51.2515,1206,145,0.00414996,6565.0,27.244494,842,16,5359
272,粮食工程,082703,食品科学与工程类,工学,65.3695,53.0393,82.4791,61.1442,1301,57,0.00539595,6660.0,35.937,743,35,5359
273,动植物检疫,090403T,动物医学类,农学,65.0953,36.2336,94.5173,70.0834,744,173,0.00635477,6103.0,38.783171,318,18,5359
274,水质科学与技术,082507T,环境科学与工程类,工学,64.7884,72.1097,51.7878,71.2753,2283,9,0.00660562,7642.0,50.480162,1782,35,5359
275,应用心理学,071102,心理学类,理学,64.556,44.5769,75.8641,80.6913,948,37,0.00868113,6307.0,54.751875,674,39,5359
276,工会学,030505TK,马克思主义理论类,法学,64.5143,73.6591,42.8486,80.2145,2595,5,0.00854514,7954.0,67.968013,2243,30,5359
277,医疗产品管理,120412T,公共管理类,管理学,64.4487,82.4791,37.0083,74.0167,5097,3,0.00722519,10456.0,75.546562,4759,34,5359
278,消防工程,083102K,公安技术类,工学,64.3623,55.4231,78.0691,59.4756,1389,43,0.00521616,6748.0,35.198627,401,35,5359
279,卫生检验与检疫,101007,医学技术类,医学,64.3057,46.7223,89.8093,56.7342,1005,113,0.00490318,6364.0,31.203838,812,16,5359
280,生物工程,083001,生物工程类,工学,64.1836,49.3445,86.2932,56.9726,1112,76,0.00494249,6471.0,31.982832,304,35,5359
281,出入境管理,030620TK,公安学类,法学,64.1418,65.3159,65.7926,59.9523,1814,21,0.00533156,7173.0,38.243288,1468,30,5359
282,图书馆学,120501,图书情报与档案管理类,管理学,64.118,62.5149,61.8594,69.8451,1718,17,0.00622472,7077.0,44.052372,1380,34,5359
283,化学生物学,070303T,化学类,理学,64.1061,55.3039,70.9178,68.6532,1388,28,0.0060102,6747.0,40.550838,1064,39,5359
284,水土保持与荒漠化防治,090203,自然保护与环境生态类,农学,64.0584,67.4613,62.9321,60.1907,1913,18,0.00536971,7272.0,39.048531,994,18,5359
285,哲学,010101,哲学类,哲学,64.0525,46.4839,92.2527,52.6818,1000,141,0.0042351,6359.0,26.931011,823,17,5359
286,水务工程,081104T,水利类,工学,64.0435,68.9511,57.8665,64.8391,1994,13,0.0056378,7353.0,41.454709,937,35,5359
287,电气工程与智能控制,080604T,电气类,工学,63.8558,71.2753,62.9321,53.2777,2166,18,0.00431407,7525.0,32.463386,1605,35,5359
288,基础医学,100101K,基础医学类,医学,63.2777,46.6031,87.6043,55.8999,1002,86,0.00476397,6361.0,30.303632,814,16,5359
289,智能交互设计,080218T,机械类,工学,63.2151,75.9237,47.6162,64.7199,2923,7,0.00561322,8282.0,46.488729,2519,35,5359
290,农村区域发展,120302,农业经济管理类,管理学,63.1943,62.3361,67.938,57.9261,1713,24,0.0050738,7072.0,35.881943,1370,33,5359
291,数据警务技术,083111TK,公安技术类,工学,63.1734,56.1383,77.7712,53.9928,1464,42,0.0044436,6823.0,30.318652,428,35,5359
292,放射医学,100206TK,临床医学类,医学,62.8725,50.0596,68.534,75.447,1164,25,0.00757744,6523.0,49.427615,842,16,5359
293,生物统计学,071204T,统计学类,理学,62.8635,87.0083,12.5745,94.6365,6732,0,0.02022576,12091.0,244.549616,6284,39,5359
294,能源化学,070305T,化学类,理学,62.7235,55.6615,65.7926,69.7259,1399,21,0.00619478,6758.0,41.864331,1064,39,5359
295,矿物资源工程,081505T,矿业类,工学,62.6311,52.0858,81.7044,52.801,1279,54,0.00423848,6638.0,28.135028,815,35,5359
296,地理科学,070501,地理科学类,理学,62.5179,53.8737,74.3147,59.8331,1325,34,0.00532445,6684.0,35.588652,770,39,5359
297,交通设备与控制工程,081806T,交通运输类,工学,62.4792,60.7867,72.944,50.5364,1578,30,0.00406913,6937.0,28.227545,1090,35,5359
298,医学检验技术,101001,医学技术类,医学,62.3838,45.7688,84.9821,57.3302,982,66,0.00499343,6341.0,31.663356,817,16,5359
299,环保设备工程,082505T,环境科学与工程类,工学,62.3748,71.9905,45.1132,71.1561,2282,6,0.00657377,7641.0,50.230162,1782,35,5359
300,汽车服务工程,080208,机械类,工学,62.351,75.8045,45.1132,64.9583,2922,6,0.00564039,8281.0,46.708072,2519,35,5359
301,智慧交通,081811T,交通运输类,工学,62.0858,60.9058,70.9178,51.6091,1581,28,0.00416343,6940.0,28.894212,1089,35,5359
302,药学,100701,药学类,医学,62.0798,49.5828,81.2872,55.1847,1146,53,0.00453314,6505.0,29.488066,505,16,5359
303,智慧应急,082905TK,安全科学与工程类,工学,62.0769,62.5149,56.1979,69.6067,1718,12,0.0061776,7077.0,43.718846,1262,35,5359
304,农业工程,082301,农业工程类,工学,62.0769,56.6746,74.7914,52.9201,1500,35,0.00425843,6859.0,29.20856,1058,35,5359
305,工程软件,081013T,土木类,工学,61.8802,78.6651,32.8367,75.6853,3650,2,0.00758578,9009.0,68.340261,3202,35,5359
306,乳品工程,082704,食品科学与工程类,工学,61.8594,52.503,73.3611,60.7271,1300,31,0.00538792,6659.0,35.878177,744,35,5359
307,材料化学,080403,材料类,工学,61.3141,60.0715,76.2217,42.4315,1567,38,0.00370417,6926.0,25.655094,1128,35,5359
308,慈善管理,120418T,公共管理类,管理学,61.3022,82.36,28.0691,74.1359,5096,1,0.00722608,10455.0,75.548671,4760,34,5359
309,自然地理与资源环境,070502,地理科学类,理学,60.9595,56.0191,64.6007,63.7664,1450,20,0.00556692,6809.0,37.905143,770,39,5359
310,消防指挥,030608TK,公安学类,法学,60.9207,64.7199,57.8665,59.118,1783,13,0.00520042,7142.0,37.141433,1445,30,5359
311,中国古典学,050111T,中国语言文学类,文学,60.7956,85.6377,12.5745,88.5578,6309,0,0.01224298,11668.0,142.851065,6129,22,5359
312,数字人文,050110T,中国语言文学类,文学,60.6645,85.4589,12.5745,88.3194,6302,0,0.0122184,11661.0,142.478733,6122,22,5359
313,动物医学,090401,动物医学类,农学,60.6377,36.1144,92.1335,55.7807,726,140,0.00472305,6085.0,28.739784,309,18,5359
314,手语翻译,050109T,中国语言文学类,文学,60.5572,85.3397,12.5745,88.081,6278,0,0.0121826,11637.0,141.768917,6098,22,5359
315,能源与动力工程,080501,能源动力类,工学,60.5513,70.3218,56.1979,51.0131,2058,12,0.00412943,7417.0,30.62797,1564,35,5359
316,老年学,030306T,社会学类,法学,60.4201,66.031,47.6162,69.3683,1826,7,0.00615457,7185.0,44.220584,1410,30,5359
317,地理国情监测,081204T,测绘类,工学,60.1758,64.8391,56.1979,58.2837,1784,12,0.00508626,7143.0,36.331184,1343,35,5359
318,广播电视工程,080707T,电子信息类,工学,60.0864,87.9619,12.5745,82.0024,7079,0,0.00942591,12438.0,117.23941,6622,35,5359
319,柔性电子学,080719T,电子信息类,工学,60.0864,87.9619,12.5745,82.0024,7079,0,0.00942591,12438.0,117.23941,6622,35,5359
320,水声工程,080708T,电子信息类,工学,60.0864,87.9619,12.5745,82.0024,7079,0,0.00942591,12438.0,117.23941,6622,35,5359
321,海洋信息工程,080718T,电子信息类,工学,60.0864,87.9619,12.5745,82.0024,7079,0,0.00942591,12438.0,117.23941,6622,35,5359
322,电子封装技术,080709T,电子信息类,工学,60.0864,87.9619,12.5745,82.0024,7079,0,0.00942591,12438.0,117.23941,6622,35,5359
323,铁道工程,081007T,土木类,工学,60.0745,78.5459,28.0691,75.3278,3648,1,0.00757068,9007.0,68.189111,3201,35,5359
324,安全防范工程,083104TK,公安技术类,工学,59.562,49.2253,78.8439,49.1061,1096,45,0.00393587,6455.0,25.406055,428,35,5359
325,机电技术教育,080211T,机械类,工学,59.1806,75.5662,37.0083,64.0048,2919,3,0.00557703,8278.0,46.166658,2519,35,5359
326,物流工程,120602,物流管理与工程类,管理学,59.0971,53.6353,67.2825,56.3766,1317,23,0.00483509,6676.0,32.279091,977,33,5359
327,仿生科学与工程,080215T,机械类,工学,59.0465,75.5662,37.0083,63.4684,2919,3,0.00556111,8278.0,46.03484,2519,35,5359
