专业,专业代码,所属专业类,所属学科门类,专业相关招录人数,直接对口招录人数,专业类共享招录人数,学科门类共享招录人数,专业不限招录人数
古生物学,070904T,地质学类,理学,405,0,216,10,5355
智能飞行器技术,082010T,航空航天类,工学,404,9,67,3,5355
实验动物学,090404T,动物医学类,农学,403,1,185,2,5355
艺术教育,040105,教育学类,教育学,403,0,348,0,5355
中兽医学,090405T,动物医学类,农学,402,3,184,2,5355
飞行器控制与信息工程,082008T,航空航天类,工学,400,5,67,3,5355
生物医学工程,082601,生物医学工程类,工学,399,11,62,3,5355
小学教育,040107,教育学类,教育学,399,4,344,0,5355
孤独症儿童教育,040116TK,教育学类,教育学,398,0,343,0,5355
学前教育,040106,教育学类,教育学,398,0,343,0,5355
航空航天工程,082001,航空航天类,工学,397,2,67,3,5355
特殊教育,040108,教育学类,教育学,397,0,342,0,5355
飞行器设计与工程,082002,航空航天类,工学,396,1,67,3,5355
临床工程技术,082603T,生物医学工程类,工学,396,0,62,3,5355
假肢矫形工程,082602T,生物医学工程类,工学,396,0,62,3,5355
健康科学与技术,082605T,生物医学工程类,工学,396,0,62,3,5355
康复工程,082604T,生物医学工程类,工学,396,0,62,3,5355
法医学,100901K,法医学类,医学,395,44,138,0,5355
档案学,120502,图书情报与档案管理类,管理学,395,24,99,9,5355
空天智能电推进技术,082011T,航空航天类,工学,395,0,67,3,5355
飞行器制造工程,082003,航空航天类,工学,395,0,67,3,5355
飞行器动力工程,082004,航空航天类,工学,395,0,67,3,5355
飞行器环境与生命保障工程,082005,航空航天类,工学,395,0,67,3,5355
飞行器质量与可靠性,082006T,航空航天类,工学,395,0,67,3,5355
飞行器运维工程,082012T,航空航天类,工学,395,0,67,3,5355
飞行器适航技术,082007T,航空航天类,工学,395,0,67,3,5355
信息资源管理,120503,图书情报与档案管理类,管理学,392,15,99,9,5355
图书馆学,120501,图书情报与档案管理类,管理学,388,10,99,9,5355
未来机器人,083201TK,交叉工程类,工学,383,7,38,3,5355
水产养殖学,090601,水产类,农学,382,9,119,2,5355
工程力学,080102,力学类,工学,381,1,54,3,5355
理论与应用力学,080101,力学类,工学,380,0,54,3,5355
智慧城市与空间规划,083206T,交叉工程类,工学,379,13,38,3,5355
集成电路科学与工程,083204TK,交叉工程类,工学,379,4,37,3,5355
辐射防护与核安全,082202,核工程类,工学,378,9,43,3,5355
低空技术与工程,083203TK,交叉工程类,工学,378,2,38,3,5355
交叉工程,083202TK,交叉工程类,工学,376,0,38,3,5355
碳中和科学与工程,083205T,交叉工程类,工学,376,0,38,3,5355
工程物理,082203,核工程类,工学,369,0,43,3,5355
核化工与核燃料工程,082204,核工程类,工学,369,0,43,3,5355
核工程与核技术,082201,核工程类,工学,369,0,43,3,5355
智能无人系统技术,082108T,兵器类,工学,366,18,17,3,5355
弹药工程与爆炸技术,082104,兵器类,工学,361,16,17,3,5355
船舶与海洋工程,081901,海洋工程类,工学,361,8,21,3,5355
服装与服饰设计,130505,设计学类,艺术学,359,35,182,0,5355
特种能源技术与工程,082105,兵器类,工学,358,7,17,3,5355
民族学,030401,民族学类,法学,358,4,79,0,5355
智慧海洋技术,081905T,海洋工程类,工学,357,8,21,3,5355
海洋资源开发技术,081903T,海洋工程类,工学,357,6,21,3,5355
海洋工程与技术,081902T,海洋工程类,工学,357,2,21,3,5355
智能海洋装备,081906T,海洋工程类,工学,357,0,21,3,5355
海洋机器人,081904T,海洋工程类,工学,357,0,21,3,5355
信息对抗技术,082107,兵器类,工学,354,8,17,3,5355
武器系统与工程,082101,兵器类,工学,354,3,17,3,5355
探测制导与控制技术,082103,兵器类,工学,354,0,17,3,5355
武器发射工程,082102,兵器类,工学,354,0,17,3,5355
装甲车辆工程,082106,兵器类,工学,354,0,17,3,5355
中药学,100801,中药学类,医学,352,14,187,0,5355
海洋科学,070701,海洋科学类,理学,325,7,4,10,5355
海洋渔业科学与技术,090602,水产类,农学,325,5,119,2,5355
水生动物医学,090604TK,水产类,农学,323,3,119,2,5355
水族科学与技术,090603T,水产类,农学,320,0,119,2,5355
生物信息学,071003,生物科学类,理学,316,5,117,10,5355
整合科学,071005T,生物科学类,理学,300,0,111,10,5355
神经科学,071006T,生物科学类,理学,300,0,111,10,5355
防灾减灾科学与工程,070803T,地球物理学类,理学,292,25,90,10,5355
草业科学,090701,草学类,农学,281,1,82,2,5355
草坪科学与工程,090702T,草学类,农学,281,0,82,2,5355
地球物理学,070801,地球物理学类,理学,276,13,90,10,5355
空间科学与技术,070802,地球物理学类,理学,276,2,90,10,5355
大气科学,070601,大气科学类,理学,275,16,89,10,5355
地球系统科学,070604T,大气科学类,理学,275,0,89,10,5355
应用气象学,070602,大气科学类,理学,275,0,89,10,5355
气象技术与工程,070603T,大气科学类,理学,275,0,89,10,5355
行星科学,070804TK,地球物理学类,理学,274,0,90,10,5355
运动训练,040202K,体育学类,教育学,257,38,197,0,5355
体能训练,040208T,体育学类,教育学,253,36,197,0,5355
体育教育,040201,体育学类,教育学,246,30,197,0,5355
中药制药,100805T,中药学类,医学,246,5,189,0,5355
中草药栽培与鉴定,100806T,中药学类,医学,246,1,190,0,5355
中药资源与开发,100802,中药学类,医学,246,1,190,0,5355
蒙药学,100804T,中药学类,医学,246,0,190,0,5355
藏药学,100803T,中药学类,医学,246,0,190,0,5355
社会体育指导与管理,040203,体育学类,教育学,239,19,197,0,5355
武术与民族传统体育,040204K,体育学类,教育学,237,18,197,0,5355
运动康复,040206T,体育学类,教育学,234,15,197,0,5355
运动能力开发,040213T,体育学类,教育学,230,11,197,0,5355
运动人体科学,040205,体育学类,教育学,229,10,197,0,5355
体育旅游,040212TK,体育学类,教育学,229,8,197,0,5355
哲学,010101,哲学类,哲学,227,18,193,0,5355
宗教学,010103K,哲学类,哲学,225,5,192,0,5355
智能体育工程,040211TK,体育学类,教育学,225,4,197,0,5355
逻辑学,010102,哲学类,哲学,223,3,193,0,5355
足球运动,040214TK,体育学类,教育学,223,2,197,0,5355
伦理学,010104T,哲学类,哲学,223,0,193,0,5355
新媒体艺术,130511T,设计学类,艺术学,222,23,183,0,5355
休闲体育,040207T,体育学类,教育学,222,2,197,0,5355
体育康养,040216T,体育学类,教育学,222,1,197,0,5355
冰雪运动,040209T,体育学类,教育学,222,1,197,0,5355
预防医学,100401K,公共卫生与预防医学类,医学,221,22,150,0,5355
电子竞技运动与管理,040210TK,体育学类,教育学,221,0,197,0,5355
航空运动,040217TK,体育学类,教育学,221,0,197,0,5355
马术运动与管理,040215TK,体育学类,教育学,221,0,197,0,5355
数字媒体艺术,130508,设计学类,艺术学,218,19,183,0,5355
视觉传达设计,130502,设计学类,艺术学,217,18,183,0,5355
环境设计,130503,设计学类,艺术学,215,17,182,0,5355
卫生监督,100404TK,公共卫生与预防医学类,医学,210,6,150,0,5355
食品卫生与营养学,100402,公共卫生与预防医学类,医学,210,6,150,0,5355
妇幼保健医学,100403TK,公共卫生与预防医学类,医学,208,3,150,0,5355
全球健康学,100405TK,公共卫生与预防医学类,医学,207,0,150,0,5355
运动与公共健康,100406T,公共卫生与预防医学类,医学,207,0,150,0,5355
产品设计,130504,设计学类,艺术学,206,7,183,0,5355
艺术设计学,130501,设计学类,艺术学,202,3,183,0,5355
声学,070204T,物理学类,理学,201,1,30,10,5355
应用物理学,070202,物理学类,理学,201,1,30,10,5355
系统科学与工程,070205T,物理学类,理学,201,1,30,10,5355
包装设计,130512T,设计学类,艺术学,200,1,183,0,5355
工艺美术,130507,设计学类,艺术学,200,1,183,0,5355
艺术与科技,130509T,设计学类,艺术学,200,1,183,0,5355
核物理,070203,物理学类,理学,200,0,30,10,5355
物理学,070201,物理学类,理学,200,0,30,10,5355
量子信息科学,070206T,物理学类,理学,200,0,30,10,5355
文物与博物馆学,060104,历史学类,历史学,199,8,166,0,5355
人居设计,130514T,设计学类,艺术学,199,0,183,0,5355
游戏艺术设计,130515TK,设计学类,艺术学,199,0,183,0,5355
公共艺术,130506,设计学类,艺术学,198,0,182,0,5355
珠宝首饰设计与工艺,130513TK,设计学类,艺术学,197,0,181,0,5355
英语,050201,外国语言文学类,文学,196,31,50,1,5355
文物保护技术,060105T,历史学类,历史学,196,5,166,0,5355
陶瓷艺术设计,130510TK,设计学类,艺术学,196,0,180,0,5355
考古学,060103,历史学类,历史学,194,4,165,0,5355
缅甸语,050216,外国语言文学类,文学,193,17,50,1,5355
老挝语,050215,外国语言文学类,文学,192,10,50,1,5355
外国语言与外国历史,060106T,历史学类,历史学,191,2,164,0,5355
越南语,050223,外国语言文学类,文学,190,11,50,1,5355
古文字学,060108T,历史学类,历史学,190,0,165,0,5355
世界史,060102,历史学类,历史学,189,0,164,0,5355
科学史,060109T,历史学类,历史学,189,0,164,0,5355
印度尼西亚语,050212,外国语言文学类,文学,188,2,50,1,5355
商务英语,050262,外国语言文学类,文学,187,21,50,1,5355
泰语,050220,外国语言文学类,文学,187,1,50,1,5355
柬埔寨语,050214,外国语言文学类,文学,186,0,50,1,5355
马来语,050217,外国语言文学类,文学,186,0,50,1,5355
海洋技术,070702,海洋科学类,理学,185,10,4,10,5355
海洋资源与环境,070703T,海洋科学类,理学,183,8,4,10,5355
中西医临床医学,100601K,中西医结合类,医学,182,61,74,0,5355
军事海洋学,070704T,海洋科学类,理学,181,0,4,10,5355
海洋科学与技术,070705T,海洋科学类,理学,181,0,4,10,5355
广播电视编导,130305,戏剧与影视学类,艺术学,180,58,99,0,5355
翻译,050261,外国语言文学类,文学,176,5,50,1,5355
俄语,050202,外国语言文学类,文学,173,8,50,1,5355
朝鲜语,050209,外国语言文学类,文学,173,8,50,1,5355
天文学,070401,天文学类,理学,170,0,0,10,5355
日语,050207,外国语言文学类,文学,169,4,50,1,5355
法语,050204,外国语言文学类,文学,169,4,50,1,5355
希伯来语,050222,外国语言文学类,文学,167,2,50,1,5355
葡萄牙语,050232,外国语言文学类,文学,167,2,50,1,5355
蒙古语,050218,外国语言文学类,文学,167,2,50,1,5355
西班牙语,050205,外国语言文学类,文学,167,2,50,1,5355
播音与主持艺术,130309,戏剧与影视学类,艺术学,165,32,99,0,5355
世界语,050241,外国语言文学类,文学,165,0,50,1,5355
丹麦语,050249,外国语言文学类,文学,165,0,50,1,5355
乌克兰语,050247,外国语言文学类,文学,165,0,50,1,5355
乌兹别克语,050258,外国语言文学类,文学,165,0,50,1,5355
乌尔都语,050221,外国语言文学类,文学,165,0,50,1,5355
亚美尼亚语,050269T,外国语言文学类,文学,165,0,50,1,5355
保加利亚语,050227,外国语言文学类,文学,165,0,50,1,5355
僧伽罗语,050219,外国语言文学类,文学,165,0,50,1,5355
克罗地亚语,050244,外国语言文学类,文学,165,0,50,1,5355
克里奥尔语,050279T,外国语言文学类,文学,165,0,50,1,5355
冰岛语,050250,外国语言文学类,文学,165,0,50,1,5355
切瓦语,050298T,外国语言文学类,文学,165,0,50,1,5355
加泰罗尼亚语,050267T,外国语言文学类,文学,165,0,50,1,5355
匈牙利语,050237,外国语言文学类,文学,165,0,50,1,5355
卢旺达语,050295T,外国语言文学类,文学,165,0,50,1,5355
卢森堡语,050294T,外国语言文学类,文学,165,0,50,1,5355
印地语,050213,外国语言文学类,文学,165,0,50,1,5355
吉尔吉斯语,050264T,外国语言文学类,文学,165,0,50,1,5355
哈萨克语,050257,外国语言文学类,文学,165,0,50,1,5355
土库曼语,050266T,外国语言文学类,文学,165,0,50,1,5355
土耳其语,050235,外国语言文学类,文学,165,0,50,1,5355
塔吉克语,050275T,外国语言文学类,文学,165,0,50,1,5355
塞尔维亚语,050234,外国语言文学类,文学,165,0,50,1,5355
塞苏陀语,050299T,外国语言文学类,文学,165,0,50,1,5355
孟加拉语,050242,外国语言文学类,文学,165,0,50,1,5355
尼泊尔语,050243,外国语言文学类,文学,165,0,50,1,5355
希腊语,050236,外国语言文学类,文学,165,0,50,1,5355
库克群岛毛利语,050292T,外国语言文学类,文学,165,0,50,1,5355
库尔德语,050286T,外国语言文学类,文学,165,0,50,1,5355
德语,050203,外国语言文学类,文学,165,0,50,1,5355
德顿语,050289T,外国语言文学类,文学,165,0,50,1,5355
恩德贝莱语,050277T,外国语言文学类,文学,165,0,50,1,5355
意大利语,050238,外国语言文学类,文学,165,0,50,1,5355
拉丁语,050260,外国语言文学类,文学,165,0,50,1,5355
拉脱维亚语,050252,外国语言文学类,文学,165,0,50,1,5355
挪威语,050248,外国语言文学类,文学,165,0,50,1,5355
捷克语,050229,外国语言文学类,文学,165,0,50,1,5355
提格雷尼亚语,050281T,外国语言文学类,文学,165,0,50,1,5355
斐济语,050291T,外国语言文学类,文学,165,0,50,1,5355
斯洛伐克语,050230,外国语言文学类,文学,165,0,50,1,5355
斯洛文尼亚语,050254,外国语言文学类,文学,165,0,50,1,5355
斯瓦希里语,050225,外国语言文学类,文学,165,0,50,1,5355
普什图语,050240,外国语言文学类,文学,165,0,50,1,5355
格鲁吉亚语,050271T,外国语言文学类,文学,165,0,50,1,5355
桑戈语,050200T,外国语言文学类,文学,165,0,50,1,5355
梵语巴利语,050211,外国语言文学类,文学,165,0,50,1,5355
比斯拉马语,050287T,外国语言文学类,文学,165,0,50,1,5355
毛利语,050283T,外国语言文学类,文学,165,0,50,1,5355
汤加语,050284T,外国语言文学类,文学,165,0,50,1,5355
波兰语,050228,外国语言文学类,文学,165,0,50,1,5355
波斯语,050208,外国语言文学类,文学,165,0,50,1,5355
泰米尔语,050239,外国语言文学类,文学,165,0,50,1,5355
爱尔兰语,050251,外国语言文学类,文学,165,0,50,1,5355
爱沙尼亚语,050255,外国语言文学类,文学,165,0,50,1,5355
瑞典语,050233,外国语言文学类,文学,165,0,50,1,5355
白俄罗斯语,050282T,外国语言文学类,文学,165,0,50,1,5355
皮金语,050297T,外国语言文学类,文学,165,0,50,1,5355
祖鲁语,050259,外国语言文学类,文学,165,0,50,1,5355
科摩罗语,050278T,外国语言文学类,文学,165,0,50,1,5355
立陶宛语,050253,外国语言文学类,文学,165,0,50,1,5355
索马里语,050265T,外国语言文学类,文学,165,0,50,1,5355
约鲁巴语,050268T,外国语言文学类,文学,165,0,50,1,5355
纽埃语,050296T,外国语言文学类,文学,165,0,50,1,5355
绍纳语,050280T,外国语言文学类,文学,165,0,50,1,5355
罗马尼亚语,050231,外国语言文学类,文学,165,0,50,1,5355
芬兰语,050246,外国语言文学类,文学,165,0,50,1,5355
茨瓦纳语,050276T,外国语言文学类,文学,165,0,50,1,5355
荷兰语,050245,外国语言文学类,文学,165,0,50,1,5355
菲律宾语,050210,外国语言文学类,文学,165,0,50,1,5355
萨摩亚语,050285T,外国语言文学类,文学,165,0,50,1,5355
豪萨语,050224,外国语言文学类,文学,165,0,50,1,5355
达里语,050288T,外国语言文学类,文学,165,0,50,1,5355
迪维希语,050290T,外国语言文学类,文学,165,0,50,1,5355
阿塞拜疆语,050272T,外国语言文学类,文学,165,0,50,1,5355
阿姆哈拉语,050263T,外国语言文学类,文学,165,0,50,1,5355
阿尔巴尼亚语,050226,外国语言文学类,文学,165,0,50,1,5355
阿拉伯语,050206,外国语言文学类,文学,165,0,50,1,5355
阿非利卡语,050273T,外国语言文学类,文学,165,0,50,1,5355
隆迪语,050293T,外国语言文学类,文学,165,0,50,1,5355
马其顿语,050274T,外国语言文学类,文学,165,0,50,1,5355
马耳他语,050256,外国语言文学类,文学,165,0,50,1,5355
马达加斯加语,050270T,外国语言文学类,文学,165,0,50,1,5355
影视摄影与制作,130311T,戏剧与影视学类,艺术学,163,42,99,0,5355
戏剧影视导演,130306,戏剧与影视学类,艺术学,140,3,99,0,5355
戏剧影视文学,130304,戏剧与影视学类,艺术学,138,1,99,0,5355
影视技术,130312T,戏剧与影视学类,艺术学,131,17,97,0,5355
动画,130310,戏剧与影视学类,艺术学,122,8,97,0,5355
表演,130301,戏剧与影视学类,艺术学,117,2,98,0,5355
戏剧学,130302,戏剧与影视学类,艺术学,117,1,99,0,5355
戏剧影视美术设计,130307,戏剧与影视学类,艺术学,116,2,97,0,5355
录音艺术,130308,戏剧与影视学类,艺术学,116,1,98,0,5355
数字戏剧,130316T,戏剧与影视学类,艺术学,116,0,99,0,5355
数字演艺设计,130317T,戏剧与影视学类,艺术学,116,0,99,0,5355
智能影像艺术,130318T,戏剧与影视学类,艺术学,116,0,99,0,5355
电影学,130303,戏剧与影视学类,艺术学,115,1,97,0,5355
戏剧教育,130313T,戏剧与影视学类,艺术学,115,0,98,0,5355
曲艺,130314TK,戏剧与影视学类,艺术学,115,0,98,0,5355
音乐剧,130315TK,戏剧与影视学类,艺术学,115,0,98,0,5355
口腔医学,100301K,口腔医学类,医学,66,12,9,0,5355
音乐学,130202,音乐与舞蹈学类,艺术学,59,7,36,0,5355
舞蹈编导,130206,音乐与舞蹈学类,艺术学,57,5,36,0,5355
音乐表演,130201,音乐与舞蹈学类,艺术学,57,5,36,0,5355
舞蹈表演,130204,音乐与舞蹈学类,艺术学,54,2,36,0,5355
音乐教育,130212T,音乐与舞蹈学类,艺术学,54,2,36,0,5355
舞蹈学,130205,音乐与舞蹈学类,艺术学,53,1,36,0,5355
流行舞蹈,130211T,音乐与舞蹈学类,艺术学,52,0,36,0,5355
流行音乐,130209T,音乐与舞蹈学类,艺术学,52,0,36,0,5355
舞蹈教育,130207T,音乐与舞蹈学类,艺术学,52,0,36,0,5355
舞蹈治疗,130214TK,音乐与舞蹈学类,艺术学,52,0,36,0,5355
音乐治疗,130210T,音乐与舞蹈学类,艺术学,52,0,36,0,5355
音乐科技,130215T,音乐与舞蹈学类,艺术学,52,0,36,0,5355
作曲与作曲技术理论,130203,音乐与舞蹈学类,艺术学,50,0,34,0,5355
冰雪舞蹈表演,130213TK,音乐与舞蹈学类,艺术学,50,0,34,0,5355
摄影,130404,美术学类,艺术学,49,10,21,0,5355
航空服务艺术与管理,130208TK,音乐与舞蹈学类,艺术学,49,0,33,0,5355
文物保护与修复,130409T,美术学类,艺术学,41,3,20,0,5355
绘画,130402,美术学类,艺术学,40,3,20,0,5355
美术学,130401,美术学类,艺术学,40,3,21,0,5355
实验艺术,130407TK,美术学类,艺术学,39,0,21,0,5355
漫画,130410T,美术学类,艺术学,39,0,21,0,5355
科技艺术,130412TK,美术学类,艺术学,39,0,21,0,5355
美术教育,130413TK,美术学类,艺术学,39,0,21,0,5355
虚拟空间艺术,130414T,美术学类,艺术学,39,0,21,0,5355
跨媒体艺术,130408TK,美术学类,艺术学,39,0,21,0,5355
中国画,130406T,美术学类,艺术学,38,0,20,0,5355
书法学,130405T,美术学类,艺术学,38,0,20,0,5355
纤维艺术,130411T,美术学类,艺术学,38,0,20,0,5355
雕塑,130403,美术学类,艺术学,38,0,20,0,5355
非物质文化遗产保护,130103T,艺术学理论类,艺术学,30,4,9,0,5355
艺术管理,130102T,艺术学理论类,艺术学,29,3,9,0,5355
艺术史论,130101,艺术学理论类,艺术学,27,0,9,0,5355
